exchange,symbol,company,volume,price,change
nasdaq,INTC,Intel ,71500381,52.43,-5.18
nasdaq,AMD,Advanced Micro Devices,48147365,27.88,0.22
nasdaq,SIRI,Sirius XM Holdings ,36473339,5.78,0.05
nasdaq,MU,Micron Technolog,25976922,42.10,-0.65
nasdaq,QQQ,Invesco QQQ Trust Series I,24051058,190.65,0.17
nasdaq,MSFT,Microsoft ,22599276,129.89,0.74
nasdaq,PETX,Aratana Therapeutics ,22178509,4.79,1.36
nasdaq,TSLA,Tesla ,21926193,235.14,-12.49
nasdaq,FB,Facebook Cl ,21548089,191.49,-1.77
nasdaq,NVDA,NVIDIA ,21507347,178.09,-8.82
nasdaq,SQQQ,ProShares UltraPro Short QQQ ,18420011,8.55,-0.03
nasdaq,QCOM,Qualcomm ,18301972,86.64,1.57
nasdaq,AAPL,Apple ,18272110,204.30,-0.98
nasdaq,ZNGA,Zynga ,17909486,5.51,0.05
nasdaq,IQ,iQIYI AD,17364641,21.90,-1.07
nasdaq,CSCO,Cisco Systems ,17283768,55.88,-0.45
nasdaq,JD,JD.com AD,17118147,29.13,-0.10
nasdaq,TVIX,VelocityShares Daily 2x VIX Short Term ETN ,17039443,19.22,-1.19
nasdaq,MRVL,Marvell Technology Group ,16956415,25.06,-0.34
nasdaq,CMCSA,Comcast Cl A (,15832247,43.08,0.15
nasdaq,MAT,Mattel,15647502,12.14,-0.14
nasdaq,XLNX,Xilinx ,14217825,118.93,3.07
nasdaq,TQQQ,ProShares UltraPro QQQ ,13716100,67.28,0.24
nasdaq,DBX,Dropbox,13605158,24.35,0.70
nasdaq,SBUX,Starbucks ,12416865,77.45,0.34
nasdaq,PDD,Pinduoduo ADR,12403871,21.92,-1.15
nasdaq,CY,Cypress Semiconducto,11914853,17.30,1.12
nasdaq,NVAX,Novavax ,11725389,0.49,-0.01
nasdaq,HBAN,Huntington Bancshares ,11226011,13.74,0.06
nasdaq,ROKU,Roku Cl A ,10939475,63.44,2.40
nasdaq,WDC,Western Digital,10101755,50.92,-2.03
nasdaq,AAL,American Airlines Group,9343469,33.06,-0.35
nasdaq,CZR,Caesars Entertainment,8700318,9.59,0.17
nasdaq,AMZN,Amazon.com ,8235332,1950.63,48.38
nasdaq,EBAY,eBay ,8132968,38.36,0.25
nasdaq,GILD,Gilead Sciences ,7923981,65.15,1.01
nasdaq,NWL,Newell Brands,7532803,14.32,0.69
nasdaq,AGNC,AGNC Investment ,7373130,17.97,0.18
nasdaq,ON,ON Semiconducto,7319670,22.44,0.03
nasdaq,PYPL,PayPal Holdings ,7099912,110.56,0.34
nasdaq,WBA,Walgreens Boots Alliance,7086566,52.85,0.17
nasdaq,AMAT,Applied Materials ,6953633,44.66,0.21
